,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
0,2024,First Four,16,16,Howard,Wagner,75.1,63.5,74.4,62.1,52.9,51.6,37.4,32.2,68,71,Wagner
1,2024,First Four,10,10,Virginia,Colorado State,63.6,76.4,59.5,68.4,69.7,70.6,36.3,39.4,42,67,Colorado State
2,2024,First Four,16,16,Montana State,Grambling,75.1,67.6,74.1,69,50,58.8,36.7,33.9,81,88,Grambling
3,2024,First Four,10,10,Boise State,Colorado,75.8,79.3,67.5,71.2,68.8,70.6,34.5,39.4,53,60,Colorado
4,2024,R1,1,16,UConn,Stetson,81.5,77.5,64.4,72.8,91.2,64.7,36.7,37,91,52,UConn
5,2024,R1,8,9,Florida Atlantic,Northwestern,82.5,73.7,73.3,69,75.8,65.6,35.6,39.4,65,77,Northwestern
6,2024,R1,5,12,San Diego State,UAB,74.6,77.8,66.6,75.2,70.6,67.6,31.3,32.6,69,65,San Diego State
7,2024,R1,4,13,Auburn,Yale,83.3,75.2,68,66.6,79.4,71,35.2,34.7,76,78,Yale
8,2024,R1,6,11,BYU,Duquesne,81.8,70.8,69.9,66,69.7,68.6,34.8,34,67,71,Duquesne
9,2024,R1,3,14,Illinois,Morehead State,84.4,75.5,73.8,62.8,76.5,76.5,35,36.1,85,69,Illinois
10,2024,R1,7,10,Washington State,Drake,74.3,80.5,66.9,70.5,72.7,82.3,34,36.7,66,61,Washington State
11,2024,R1,2,15,Iowa State,South Dakota State,75.6,76.8,61.3,70.8,79.4,64.7,34.9,36.3,82,65,Iowa State
12,2024,R1,1,16,North Carolina,Wagner,81.5,63.5,70.2,62.1,79.4,51.6,35.4,32.2,90,62,North Carolina
13,2024,R1,8,9,Mississippi State,Michigan State,74.8,73.1,69.1,65.9,61.8,57.6,32.5,35.9,51,69,Michigan State
14,2024,R1,5,12,Saint Mary’s,Grand Canyon,74.2,79.8,58.7,66.9,78.8,87.9,35.5,34.4,66,75,Grand Canyon
15,2024,R1,4,13,Alabama,Charleston,90.8,80.5,81.1,72.5,65.6,79.4,36.5,34.5,109,96,Alabama
16,2024,R1,6,11,Clemson,New Mexico,77.4,81.7,71.3,70.5,65.6,74.3,35.4,33.4,77,56,Clemson
17,2024,R1,3,14,Baylor,Colgate,80.5,71.5,71.2,63.2,69.7,73.5,38.8,36.1,92,67,Baylor
18,2024,R1,7,10,Dayton,Nevada,74.7,76.4,66.3,67.1,77.4,78.8,40.2,36.5,63,60,Dayton
19,2024,R1,2,15,Arizona,Long Beach State,87.9,77.7,72.2,75.7,75.8,60,37.1,30.8,85,65,Arizona
20,2024,R1,1,16,Houston,Longwood,73,75.6,57,67.9,88.2,61.8,34.7,34.3,86,46,Houston
21,2024,R1,8,9,Nebraska,Texas A&M,77.6,74.8,70.1,70.8,69.7,58.8,35.8,28.4,83,98,Texas A&M
22,2024,R1,5,12,Wisconsin,James Madison,75.1,84.4,69.9,69.2,62.9,91.2,34.8,36.5,61,72,James Madison
23,2024,R1,4,13,Duke,Vermont,79.8,72.3,67.4,63,75,82.4,37.7,34.4,64,47,Duke
24,2024,R1,6,11,Texas Tech,NC State,75.6,76.4,69.3,72.7,69.7,61.1,36.5,34.7,67,80,NC State
25,2024,R1,3,14,Kentucky,Oakland,89.4,76.4,79.7,72.9,71.9,67.6,41.2,35.1,76,80,Oakland
26,2024,R1,7,10,Florida,Colorado,85.1,79.3,78.5,71.2,68.6,70.6,34.2,39.4,100,102,Colorado
27,2024,R1,2,15,Marquette,Western Kentucky,78.3,80.6,69.7,74.1,73.5,66.7,35.8,34,87,69,Marquette
28,2024,R1,1,16,Purdue,Grambling,83.4,67.6,70.1,69,87.9,58.8,40.8,33.9,78,50,Purdue
29,2024,R1,8,9,Utah State,TCU,79.8,79.2,70.3,71.2,81.8,63.6,33.1,35.6,88,72,Utah State
30,2024,R1,5,12,Gonzaga,McNeese,84.9,80.4,69,61.5,78.1,90.9,35.4,38.8,86,65,Gonzaga
31,2024,R1,4,13,Kansas,Samford,75.2,86,68.7,73.9,68.8,85.3,32.9,39.3,93,89,Kansas
32,2024,R1,6,11,South Carolina,Oregon,72,75.3,67,71.9,78.8,67.6,33.5,33.6,73,87,Oregon
33,2024,R1,3,14,Creighton,Akron,80.5,74,69.7,65.9,71.9,70.6,36.1,32.8,77,60,Creighton
34,2024,R1,7,10,Texas,Colorado State,76.5,76.4,69.9,68.4,62.5,70.6,36.2,39.4,56,44,Texas
35,2024,R1,2,15,Tennessee,Saint Peter’s,79.5,65.3,67.9,63.4,75,59.4,34.2,33.2,83,49,Tennessee
36,2024,R2,1,9,UConn,Northwestern,81.5,73.7,64.4,69,91.2,65.6,36.7,39.4,75,58,UConn
37,2024,R2,5,13,San Diego State,Yale,74.6,75.2,66.6,66.6,70.6,71,31.3,34.7,85,57,San Diego State
38,2024,R2,11,3,Duquesne,Illinois,70.8,84.4,66,73.8,68.6,76.5,34,35,63,89,Illinois
39,2024,R2,7,2,Washington State,Iowa State,74.3,75.6,66.9,61.3,72.7,79.4,34,34.9,56,67,Iowa State
40,2024,R2,1,9,North Carolina,Michigan State,81.5,73.1,70.2,65.9,79.4,57.6,35.4,35.9,85,69,North Carolina
41,2024,R2,12,4,Grand Canyon,Alabama,79.8,90.8,66.9,81.1,87.9,65.6,34.4,36.5,61,72,Alabama
42,2024,R2,6,3,Clemson,Baylor,77.4,80.5,71.3,71.2,65.6,69.7,35.4,38.8,72,64,Clemson
