,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
0,2024,First Four,16,16,Sacred Heart,Presbyterian,66.7,58.4,56.6,58.5,72.7,58.8,42,49,Presbyterian
1,2024,First Four,11,11,Auburn,Arizona,66.6,69.9,58.5,65.8,64.5,53.1,59,69,Arizona
2,2024,First Four,16,16,Holy Cross,UT Martin,62.6,63.8,56.2,62.9,62.5,50,72,45,Holy Cross
3,2024,First Four,12,12,Vanderbilt,Columbia,68.5,76,61.6,63.2,71,79.3,72,68,Vanderbilt
4,2024,R1,1,16,South Carolina,Presbyterian,86.1,58.4,56.3,58.5,100,58.8,91,39,South Carolina
5,2024,R1,8,9,North Carolina,Michigan State,68.9,83.7,61.9,67.3,61.3,73.3,59,56,North Carolina
6,2024,R1,5,12,Oklahoma,FGCU,76.8,75,68.9,54.5,71,87.9,73,70,Oklahoma
7,2024,R1,4,13,Indiana,Fairfield,79.5,73,64,54.1,82.8,96.9,89,56,Indiana
8,2024,R1,6,11,Nebraska,Texas A&M,73.4,68.7,64.4,58.6,66.7,61.3,61,59,Nebraska
9,2024,R1,3,14,Oregon State,Eastern Washington,71.6,68.9,59.8,55.6,77.4,85.3,73,51,Oregon State
10,2024,R1,7,10,Ole Miss,Marquette,69,70.1,59.2,59.3,74.2,74.2,67,55,Ole Miss
11,2024,R1,2,15,Notre Dame,Kent State,79.2,71.9,60.8,62.2,81.3,67.7,81,67,Notre Dame
12,2024,R1,1,16,Texas,Drexel,81.2,57.7,58,55.1,88.2,57.6,82,42,Texas
13,2024,R1,8,9,Alabama,Florida State,73.5,78.6,61.8,71.2,71.9,69.7,82,74,Alabama
14,2024,R1,5,12,Utah,South Dakota State,78,74.2,61.8,59.9,68.8,84.4,68,54,Utah
15,2024,R1,4,13,Gonzaga,UC Irvine,81.2,63.2,60,55,88.9,74.2,75,56,Gonzaga
16,2024,R1,6,11,Tennessee,Green Bay,75.9,74.2,69.6,57.1,61.3,81.8,92,63,Tennessee
17,2024,R1,3,14,NC State,Chattanooga,73.8,64.8,59.9,54.2,81.8,87.5,64,45,NC State
18,2024,R1,7,10,Iowa State,Maryland,74.6,77.7,68,72.7,64.5,59.4,93,86,Iowa State
19,2024,R1,2,15,Stanford,Norfolk State,77.5,67.5,59.2,52.3,84.8,84.4,79,50,Stanford
20,2024,R1,1,16,Iowa,Holy Cross,92.8,62.6,71.9,56.2,87.9,62.5,91,65,Iowa
21,2024,R1,8,9,West Virginia,Princeton,74.6,69.7,57.8,56,77.4,86.2,63,53,West Virginia
22,2024,R1,5,12,Colorado,Drake,75.4,81.5,63.7,69.5,71,85.3,86,72,Colorado
23,2024,R1,4,13,Kansas State,Portland,72.2,68,57.6,61.9,78.1,63.6,78,65,Kansas State
