,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
0,2022,First Four,16,16,Texas Southern,Texas A&M-CC,69.2,76.9,65.5,69.9,60,67.6,76,67,Texas Southern
1,2022,First Four,12,12,Wyoming,Indiana,73,71.5,65.5,65.9,75.8,60.6,58,66,Indiana
2,2022,First Four,16,16,Wright State,Bryant,75.5,77.9,71.1,72.7,61.8,71,93,82,Wright State
3,2022,First Four,11,11,Rutgers,Notre Dame,67.9,72.5,65.8,66.8,58.1,68.8,87,89,Notre Dame
4,2022,R1,1,16,Gonzaga,Georgia State,87.8,70.6,65.3,64.8,89.7,64.3,93,72,Gonzaga
5,2022,R1,8,9,Boise State,Memphis,68.7,75.4,60.8,68.4,79.4,67.7,53,64,Memphis
6,2022,R1,5,12,UConn,New Mexico State,75.2,73.3,65.2,65,71.9,81.2,63,70,New Mexico State
7,2022,R1,4,13,Arkansas,Vermont,76.9,74.9,68.5,60.3,75.8,84.8,75,71,Arkansas
8,2022,R1,6,11,Alabama,Notre Dame,80,72.5,76.4,66.8,59.4,68.8,64,78,Notre Dame
9,2022,R1,3,14,Texas Tech,Montana State,71.7,77,60.3,68.5,73.5,79.4,97,62,Texas Tech
10,2022,R1,7,10,Michigan State,Davidson,72.1,75.6,68.4,65.8,64.7,81.8,74,73,Michigan State
11,2022,R1,2,15,Duke,CSU Fullerton,80.2,70.3,67.1,66.2,82.4,67.7,78,61,Duke
12,2022,R1,1,16,Baylor,Norfolk State,76.5,75.1,63.6,63.7,81.2,80,85,49,Baylor
13,2022,R1,8,9,North Carolina,Marquette,77.5,74.4,71.7,70.9,72.7,61.3,95,63,North Carolina
14,2022,R1,5,12,Saint Mary's ,Indiana,69.8,71.5,60.5,65.9,78.1,60.6,82,53,Saint Mary's
15,2022,R1,4,13,UCLA,Akron,76.4,71.2,64.8,62.8,78.1,72.7,57,53,UCLA
16,2022,R1,6,11,Texas,Virginia Tech,68.3,70.7,59.6,62.3,65.6,65.7,81,73,Texas
17,2022,R1,3,14,Purdue,Yale,79.8,72.3,68.8,68.8,79.4,63.3,78,56,Purdue
18,2022,R1,7,10,Murray State,San Francisco,79.3,77.1,62.3,67,93.8,72.7,92,87,Murray State
19,2022,R1,2,15,Kentucky,Saint Peter's,79.5,66.9,66,61.8,78.8,63.3,79,85,Saint Peter's 
20,2022,R1,1,16,Arizona,Wright State,84.6,75.5,67.5,71.1,91.2,61.8,87,70,Arizona
21,2022,R1,8,9,Seton Hall,TCU,72.9,68.1,66.3,65,67.7,62.5,42,69,TCU
22,2022,R1,5,12,Houston,UAB,75.8,80.7,58.9,66.3,85.3,79.4,82,68,Houston
23,2022,R1,4,13,Illinois ,Chattanooga,75.8,74.8,67.6,64.7,71,79.4,54,53,Illinois
24,2022,R1,6,11,Colorado State,Michigan,73.7,73,65.7,69.9,83.3,54.8,63,75,Michigan
25,2022,R1,3,14,Tennessee,Longwood,73.2,76.4,62.8,65,78.8,81.2,88,56,Tennessee
26,2022,R1,7,10,Ohio State,Loyola-Chicago,73.8,73.8,68.5,61.7,63.3,78.1,54,41,Ohio State
27,2022,R1,2,15,Villanova,Delaware,72.6,73.8,63.1,69.9,78.8,64.7,80,60,Villanova
28,2022,R1,1,16,Kansas,Texas Southern,78.6,69.2,67.5,65.5,82.4,60,83,56,Kansas
29,2022,R1,8,9,San Diego State,Creighton,65.3,69,57.7,65.9,74.2,66.7,69,72,Creighton
30,2022,R1,5,12,Iowa,Richmond,83.8,71.7,71.3,68.3,74.3,65.7,63,67,Richmond
31,2022,R1,4,13,Providence,South Dakota State,71.8,86.7,67,73.4,83.3,88.2,66,57,Providence
32,2022,R1,6,11,LSU,Iowa State,73.1,66.5,63.5,63,66.7,62.5,54,59,Iowa State
33,2022,R1,3,14,Wisconsin,Colgate,70.7,76.1,66.5,67.1,77.4,67.6,67,60,Wisconsin
34,2022,R1,7,10,USC,Miami (FL),72.6,74.8,65.9,71,78.8,69.7,66,68,Miami (FL)
35,2022,R1,2,15,Auburn,Jacksonville State,78.7,73.9,67,66.8,84.4,67.7,80,61,Auburn
36,2022,R2,1,9,Gonzaga,Memphis,87.8,75.4,65.3,68.4,89.7,67.7,82,78,Gonzaga
37,2022,R2,12,4,New Mexico State,Arkansas,73.3,76.9,65,68.5,81.2,75.8,48,53,Arkansas
38,2022,R2,11,3,Notre Dame,Texas Tech,72.5,71.7,66.8,60.3,68.8,73.5,53,59,Texas Tech
39,2022,R2,7,2,Michigan State,Duke,72.1,80.2,68.4,67.1,64.7,82.4,76,85,Duke
40,2022,R2,1,8,Baylor,North Carolina,76.5,77.5,63.6,71.7,81.2,72.7,86,93,North Carolina
41,2022,R2,5,4,Saint Mary's,UCLA,69.8,76.4,60.5,64.8,78.1,78.1,56,72,UCLA
42,2022,R2,6,3,Texas,Purdue,68.3,79.8,59.6,68.8,65.6,79.4,71,81,Purdue
43,2022,R2,7,15,Murray State,Saint Peter's,79.3,66.9,62.3,61.8,93.8,63.3,60,70,Saint Peter's 
44,2022,R2,1,9,Arizona,TCU,84.6,68.1,67.5,65,91.2,62.5,85,80,Arizona
45,2022,R2,5,4,Houston,Illinois,75.8,75.8,58.9,67.6,85.3,71,53,68,Houston
46,2022,R2,11,3,Michigan,Tennessee,73,73.2,69.9,62.8,54.8,78.8,76,68,Michigan
47,2022,R2,7,2,Ohio State,Villanova,73.8,72.6,68.5,63.1,63.3,78.8,61,71,Villanova
48,2022,R2,1,9,Kansas,Creighton,78.6,69,67.5,65.9,82.4,66.7,79,72,Kansas
49,2022,R2,12,4,Richmond,Providence,71.7,71.8,68.3,67,65.7,83.3,51,79,Providence
50,2022,R2,11,3,Iowa State,Wisconsin,66.5,70.7,63,66.5,62.5,77.4,54,49,Iowa State
51,2022,R2,10,2,Miami (FL),Auburn,74.8,78.7,71,67,69.7,84.4,79,61,Miami (FL)
52,2022,Sweet 16,1,4,Gonzaga,Arkansas,87.8,76.9,65.3,68.5,89.7,75.8,68,74,Arkansas
53,2022,Sweet 16,3,2,Texas Tech,Duke,71.7,80.2,60.3,67.1,73.5,82.4,73,78,Duke
54,2022,Sweet 16,8,4,North Carolina,UCLA,77.5,76.4,71.7,64.8,72.7,78.1,73,66,North Carolina
55,2022,Sweet 16,3,15,Purdue,Saint Peter's,79.8,66.9,68.8,61.8,79.4,63.3,64,67,Saint Peter’s 
56,2022,Sweet 16,1,5,Arizona,Houston,84.6,75.8,67.5,58.9,91.2,85.3,60,72,Houston
57,2022,Sweet 16,11,2,Michigan,Villanova,73,72.6,69.9,63.1,54.8,78.8,55,63,Villanova
58,2022,Sweet 16,1,4,Kansas,Providence,78.6,71.8,67.5,67,82.4,83.3,66,61,Kansas
59,2022,Sweet 16,11,10,Iowa State,Miami (FL),66.5,74.8,63,71,62.5,69.7,56,70,Miami (FL)
60,2022,Elite 8,4,2,Arkansas,Duke,76.9,80.2,68.5,67.1,75.8,82.4,69,78,Duke
61,2022,Elite 8,8,15,North Carolina,Saint Peter’s,77.5,66.9,71.7,61.8,72.7,63.3,69,49,North Carolina
62,2022,Elite 8,5,2,Houston,Villanova,75.8,72.6,58.9,63.1,85.3,78.8,44,50,Villanova
63,2022,Elite 8,1,10,Kansas,Miami (FL),78.6,74.8,69.9,71,82.4,69.7,76,50,Kansas
64,2022,Final 4,2,8,Duke,North Carolina,80.2,77.5,67.1,71.7,82.4,72.7,77,81,North Carolina
65,2022,Final 4,2,1,Villanova,Kansas,72.6,78.6,63.1,69.9,78.8,82.4,65,81,Kansas
66,2022,Championship,8,1,North Carolina,Kansas,77.5,78.6,71.7,69.9,72.7,82.4,69,72,Kansas
