,Year,Round,Seed 1,Seed 2,Team 1,Team 2,GP 1,GP 2,TO 1,TO 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
0,2025,First Four,16,16,Alabama State,Saint Francis,34,33,9.1,12.9,2497,2347,2456,2363,73.4,71.1,72.2,71.6,55.9,48.5,33,33.9,,,
1,2025,First Four,11,11,San Diego State,North Carolina,30,35,11,10.8,2124,2828,1907,2624,70.8,80.8,63.6,75,70,62.9,33.5,35.3,,,
2,2025,First Four,16,16,American,Mount St. Mary’s,34,34,11.1,15.1,2334,2392,2287,2373,68.6,70.4,67.3,69.8,64.7,64.7,34.7,34.8,,,
3,2025,First Four,11,11,Texas,Xavier,34,32,9.9,11.2,2665,2497,2456,2268,78.4,78,72.2,70.9,55.9,65.6,36,38.8,,,
4,2025,R1,1,16,Auburn,,33,,9.2,,2767,,2297,,83.8,,69.6,,84.8,,36.8,,,,
5,2025,R1,8,9,Louisville,Creighton,34,34,11.4,12.3,2672,2558,2343,2364,78.6,75.2,68.9,69.5,79.4,70.6,33,33.9,,,
6,2025,R1,5,12,Michigan,UC San Diego,34,34,14.1,8.7,2661,2712,2422,2095,78.3,79.8,71.2,61.6,73.5,88.2,33.4,36.6,,,
7,2025,R1,4,13,Texas A&M,Yale,32,29,12.3,10,2378,2368,2174,2022,74.3,81.7,67.9,69.7,68.8,75.9,31.1,38,,,
8,2025,R1,6,11,Ole Miss,,33,,8.9,,2547,,2363,,77.2,,71.6,,66.7,,34.1,,,,
9,2025,R1,3,14,Iowa State,Lipscomb,33,34,11.9,9.5,2652,2697,2246,2289,80.4,79.3,68.1,67.3,72.7,73.5,35.8,35.9,,,
10,2025,R1,7,10,Marquette,New Mexico,33,33,9.3,11.4,2537,2681,2262,2335,76.9,81.2,68.5,70.8,69.7,78.8,32.5,34.7,,,
11,2025,R1,2,15,Michigan State,Bryant,33,34,11.5,12,2579,2800,2219,2511,78.2,82.4,67.2,73.9,81.8,67.6,30.8,33.7,,,
12,2025,R1,1,16,Florida,Norfolk State,34,34,10.6,12.4,2904,2627,2354,2345,85.4,77.3,69.2,69,88.2,70.6,35.5,33.1,,,
13,2025,R1,8,9,UConn,Oklahoma,33,33,11.2,12.1,2554,2602,2245,2470,77.4,78.8,68,74.8,69.7,60.6,35.5,37,,,
14,2025,R1,5,12,Memphis,Colorado State,34,34,13.8,11.6,2725,2556,2490,2281,80.1,75.2,73.2,67.1,85.3,73.5,38,36.6,,,
15,2025,R1,4,13,Maryland,Grand Canyon,33,33,10.3,13.2,2695,2612,2211,2281,81.7,79.2,67,69.1,75.8,78.8,37.2,31.5,,,
16,2025,R1,6,11,Missouri,Drake,33,33,10.7,11.2,2787,2313,2437,1928,84.5,70.1,73.8,58.4,66.7,88.9,37,35.5,,,
17,2025,R1,3,14,Texas Tech,UNCW,33,34,10,10.9,2670,2699,2230,2377,80.9,79.4,67.6,69.9,75.8,79.4,37.9,33.9,,,
18,2025,R1,7,10,Kansas,Arkansas,33,33,11.7,11.7,2515,2528,2286,2348,76.2,76.6,69.3,71.2,63.6,60.6,35.2,33.3,,,
19,2025,R1,2,15,St. John’s,Omaha,34,24,11.1,10.9,2676,2654,2240,2551,78.7,78.1,65.9,75,88.2,64.7,30.4,36.7,,,
20,2025,R1,1,16,Duke,,34,,9.6,,2812,,2105,,82.7,,61.9,,91.2,,37.7,,,,
21,2025,R1,8,9,Mississippi State,Baylor,33,33,10.6,11,2632,2523,2447,2282,79.8,76.5,74.2,69.2,63.6,57.6,31.4,35.1,,,
22,2025,R1,5,12,Oregon,Liberty,33,34,11.3,10.1,2515,2603,2341,2138,76.2,76.6,70.9,62.9,72.7,82.4,34,39,,,
23,2025,R1,4,13,Arizona,Akron,34,34,11.5,12,2779,2876,2463,2534,81.7,84.6,72.4,74.5,64.7,82.4,32.4,36.4,,,
24,2025,R1,6,11,BYU,VCU,33,34,12.1,11.3,2672,2622,2339,2121,81,77.1,70.9,62.4,72.7,82.4,37.1,33.4,,,
25,2025,R1,3,14,Wisconsin,Montana,35,34,9.7,10.9,2790,2614,2465,2480,79.7,76.9,70.4,72.9,74.3,73.5,34.9,36,,,
26,2025,R1,7,10,Saint Mary’s,Vanderbilt,33,32,9.8,10.4,2426,2548,2002,2393,73.5,79.6,60.7,74.8,84.8,62.5,32.3,32.5,,,
27,2025,R1,2,15,Alabama,Robert Morris,33,34,12.8,13,3007,2613,2687,2395,91.1,76.9,81.4,70.4,75.8,76.5,35,35,,,
28,2025,R1,1,16,Houston,SIUE,34,33,9.3,11.4,2523,2396,1988,2182,74.2,72.6,58.5,66.1,88.2,66.7,39.8,34.1,,,
29,2025,R1,8,9,Gonzaga,Georgia,33,32,9.4,12.9,2859,2418,2298,2218,86.6,75.6,69.6,69.3,75.8,62.5,34.4,33.5,,,
30,2025,R1,5,12,Clemson,McNeese,33,33,10.5,10.8,2519,2549,2167,2113,76.3,77.2,65.7,64,81.8,81.8,37.2,35.9,,,
31,2025,R1,4,13,Purdue,High Point,33,34,10.4,10.4,2570,2795,2346,2338,77.9,82.2,71.1,68.8,66.7,85.3,38.5,36.4,,,
32,2025,R1,6,11,Illinois,,33,,11.5,,2766,,2462,,83.8,,74.6,,63.6,,31.2,,,,
33,2025,R1,3,14,Kentucky,Troy,33,33,11.1,13.5,2815,2438,2570,2159,85.3,73.9,77.9,65.4,66.7,69.7,37.4,29.9,,,
