,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
0,2025,First Four,16,16,UC San Diego,Southern,64.1,58.9,58,56.9,57.1,58.8,,,
1,2025,First Four,11,11,Iowa State,Princeton,77.1,66.8,66.9,56.8,66.7,75,,,
2,2025,First Four,16,16,High Point,William & Mary,67.2,61.8,58.1,66,65.6,45.4,,,
3,2025,First Four,11,11,Columbia,Washington,73.4,72.5,58.6,64.4,79.3,59.4,,,
4,2025,R1,1,16,UCLA,,78.6,,57.7,,93.8,,,,
5,2025,R1,8,9,Richmond,Georgia Tech,72.1,76.9,57,64.3,81.8,68.8,,,
6,2025,R1,5,12,Ole Miss,Ball State,75.7,72.7,58.2,59.8,66.7,79.4,,,
7,2025,R1,4,13,Baylor,Grand Canyon,78,77.2,60,56.7,79.4,94.1,,,
8,2025,R1,6,11,Florida State,George Mason,87.2,73.7,71.2,56.7,74.2,84.4,,,
9,2025,R1,3,14,LSU,San Diego State,84.5,69.4,65.7,60.4,84.8,73.5,,,
10,2025,R1,7,10,Michigan State,Harvard,79.5,69.4,64,52.5,70,85.7,,,
11,2025,R1,2,15,NC State,Vermont,76.8,61.1,65.4,52.2,81.3,63.6,,,
12,2025,R1,1,16,USC,UNC Greensboro,81.5,65,59.8,51.8,90.3,80.6,,,
13,2025,R1,8,9,California,Mississippi State,73.7,76,64.6,63.7,75.7,65.6,,,
14,2025,R1,5,12,Kansas State,Fairfield,79.3,72.8,58.5,54,78.8,87.5,,,
15,2025,R1,4,13,Kentucky,Liberty,75.7,71.9,62.3,59.7,75.9,81.3,,,
16,2025,R1,6,11,Iowa,Murray State,74.3,87.8,65.1,72.1,68.8,78.1,,,
17,2025,R1,3,14,Oklahoma,FGCU,85.2,72.1,69,53.2,78.1,88.9,,,
18,2025,R1,7,10,Oklahoma State,South Dakota State,76.7,76.3,60,61.4,80.6,90.6,,,
19,2025,R1,2,15,UConn,Arkansas State,80.8,73.3,51.9,66.5,91.2,67.7,,,
20,2025,R1,1,16,South Carolina,Tennessee Tech,80.5,72,57.8,62.1,88.9,83.9,,,
21,2025,R1,8,9,Utah,Indiana,76.7,70.3,63.1,64.1,73.3,61.3,,,
22,2025,R1,5,12,Alabama,Green Bay,78.4,68.4,62.7,55.8,74.2,85.3,,,
23,2025,R1,4,13,Maryland,Norfolk State,79.9,74.4,69.3,55.9,73.3,88.2,,,
24,2025,R1,6,11,West Virginia,,75.9,,55.5,,77.4,,,,
25,2025,R1,3,14,North Carolina,Oregon State,70.9,62.8,58.1,61.3,79.4,55.9,,,
26,2025,R1,7,10,Vanderbilt,Oregon,83.6,68.2,68.8,62.9,68.8,63.3,,,
27,2025,R1,2,15,Duke,Lehigh,73.9,69.7,58.2,57.4,78.8,81.8,,,
28,2025,R1,1,16,Texas,,78.9,,55.9,,91.2,,,,
29,2025,R1,8,9,Illinois,Creighton,71.2,72.1,61.7,63.5,70,81.3,,,
30,2025,R1,5,12,Tennessee,South Florida,87.2,66,70.4,60.5,71,69.7,,,
31,2025,R1,4,13,Ohio State,Montana State,78.9,72.5,63.5,55.5,80.6,88.9,,,
32,2025,R1,6,11,Michigan,Iowa State,78.1,,65.7,,68.8,,,,
33,2025,R1,3,14,Notre Dame,Stephen F. Austin,84.7,77.9,62.1,61.5,83.9,85.3,,,
34,2025,R1,7,10,Louisville,Nebraska,72.2,76,67.3,68.4,67.7,65.6,,,
35,2025,R1,2,15,TCU,Fairleigh Dickinson,77.6,67.5,57.3,54,91.2,87.5,,,
36,2025,R2,,,,,,,,,,,,,
37,2025,R2,,,,,,,,,,,,,
38,2025,R2,,,,,,,,,,,,,
39,2025,R2,,,,,,,,,,,,,
40,2025,R2,,,,,,,,,,,,,
41,2025,R2,,,,,,,,,,,,,
42,2025,R2,,,,,,,,,,,,,
43,2025,R2,,,,,,,,,,,,,
44,2025,R2,,,,,,,,,,,,,
45,2025,R2,,,,,,,,,,,,,
46,2025,R2,,,,,,,,,,,,,
47,2025,R2,,,,,,,,,,,,,
48,2025,R2,,,,,,,,,,,,,
49,2025,R2,,,,,,,,,,,,,
50,2025,R2,,,,,,,,,,,,,
51,2025,R2,,,,,,,,,,,,,
52,2025,Sweet 16,,,,,,,,,,,,,
53,2025,Sweet 16,,,,,,,,,,,,,
54,2025,Sweet 16,,,,,,,,,,,,,
55,2025,Sweet 16,,,,,,,,,,,,,
56,2025,Sweet 16,,,,,,,,,,,,,
57,2025,Sweet 16,,,,,,,,,,,,,
58,2025,Sweet 16,,,,,,,,,,,,,
59,2025,Sweet 16,,,,,,,,,,,,,
60,2025,Elite 8,,,,,,,,,,,,,
61,2025,Elite 8,,,,,,,,,,,,,
62,2025,Elite 8,,,,,,,,,,,,,
63,2025,Elite 8,,,,,,,,,,,,,
64,2025,Final 4,,,,,,,,,,,,,
65,2025,Final 4,,,,,,,,,,,,,
66,2025,Championship,,,,,,,,,,,,,
