,Year,Round,Seed 1,Seed 2,Team 1,Team 2,GP 1,GP 2,TO 1,TO 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner,Wins 1,Wins 2
0,2026,First Four,16,16,UMBC,Howard,32,33,9.6,13.5,2439,2556,2144,2236,76.2,77.5,67,67.8,75,69.7,36.1,34.5,83,86,Howard,,
1,2026,First Four,11,11,Texas,NC State,32,33,11,9.2,2681,2762,2458,2525,83.8,83.7,76.8,76.5,56.3,60.6,35.3,38.8,68,66,Texas,,
2,2026,First Four,16,16,Prairie View A&M,Lehigh,35,34,11.9,12.1,2761,2490,2662,2515,78.9,73.2,76.1,74,51.4,52.9,33.4,35.9,,,,,
3,2026,First Four,11,11,Miami (OH),SMU,32,33,10.5,11.3,2902,2779,2409,2561,90.7,84.2,75.3,77.6,96.9,60.6,39.2,37.4,,,,,
4,2026,R1,1,16,Duke,Siena,34,34,10.5,10.3,2798,2398,2147,2233,82.3,70.5,63.1,65.7,94.1,67.6,35.1,30.4,,,,,
5,2026,R1,8,9,Ohio State,TCU,33,33,10.4,10.9,2633,2584,2402,2378,79.8,78.3,72.8,72.1,66.7,63.6,36,33.1,,,,,
6,2026,R1,5,12,St. John’s,Northern Iowa,34,35,10.5,9.3,2773,2447,2379,2144,81.6,69.9,70,61.3,82.4,65.7,33.2,35.5,,,,,
7,2026,R1,4,13,Kansas,Cal Baptist,33,33,10.7,12.4,2496,2410,2290,2230,75.6,73,69.4,67.6,69.7,75.8,35,33.7,,,,,
8,2026,R1,6,11,Louisville,South Florida,33,33,11.6,11.2,2795,2895,2382,2492,84.7,87.7,72.2,75.5,69.7,75.8,35.7,33.2,,,,,
9,2026,R1,3,14,Michigan State,North Dakota St,32,34,11.5,10.8,2526,2745,2189,2366,78.9,80.7,68.4,69.6,78.1,79.4,35.9,36.5,,,,,
10,2026,R1,7,10,UCLA,UCF,34,32,8.9,11.2,2643,2591,2414,2511,77.7,81,71,78.5,67.6,65.6,38.2,36.2,,,,,
11,2026,R1,2,15,UConn,Furman,34,34,11.2,11.9,2635,2600,2214,2397,77.5,76.5,65.1,70.5,85.3,64.7,35.2,32.7,,,,,
12,2026,R1,1,16,Florida,,33,,11.9,,2864,,2376,,86.8,,72,,78.8,,30.8,,,,,,
13,2026,R1,8,9,Clemson,Iowa,34,33,9.4,9.7,2521,2482,2269,2177,74.1,75.2,66.7,66,70.6,63.6,34.1,35.7,,,,,
14,2026,R1,5,12,Vanderbilt,McNeese,34,33,9.5,9.6,2936,2641,2557,2193,86.4,80,75.2,66.5,76.5,84.8,35.5,31.9,,,,26,28
15,2026,R1,4,13,Nebraska,Troy,32,33,9.8,11.9,2473,2649,2119,2412,77.3,80.3,66.2,73.1,81.3,66.7,35.3,33.5,,,,26,22
16,2026,R1,6,11,North Carolina,VCU,32,34,9.7,10.5,2553,2773,2282,2430,79.8,81.6,71.3,71.5,75,79.4,34.5,36.7,,,,24,27
17,2026,R1,3,14,Illinois,Penn,32,29,8.9,10.8,2700,2207,2234,2126,84.4,76.1,69.8,73.3,75,62.1,34.7,38.6,,,,24,18
18,2026,R1,7,10,Saint Mary’s,Texas A&M,32,32,10.8,10.8,2502,2807,2066,2546,78.2,87.7,64.6,79.6,84.4,65.6,38.9,36.2,,,,27,21
19,2026,R1,2,15,Houston,Idaho,34,35,8.5,10.6,2623,2753,2137,2540,77.1,78.7,62.9,72.6,82.4,60,34.9,34.6,,,,28,21
20,2026,R1,1,16,Arizona,Long Island,34,34,10.8,13,2929,2519,2339,2418,86.1,74.1,68.8,71.1,94.1,70.6,36,36.1,,,,32,24
21,2026,R1,8,9,Villanova,Utah State,32,34,10.1,10.6,2469,2804,2265,2392,77.2,82.5,70.8,70.4,75,82.4,35.3,35.8,,,,24,28
